pixel_x,pixel_y,pixel_value,db_value,surface_type
1,64,246,-0.882352941176471,debris_rock
1,65,217,-3.7254901960784323,debris_rock
1,66,196,-5.784313725490193,debris_rock
1,67,206,-4.803921568627452,debris_rock
1,68,192,-6.1764705882352935,debris_rock
1,69,209,-4.509803921568629,debris_rock
1,70,178,-7.549019607843139,mixed_snow_ice
1,71,211,-4.313725490196081,debris_rock
1,72,217,-3.7254901960784323,debris_rock
1,73,156,-9.705882352941176,clean_glacier_ice
1,74,211,-4.313725490196081,debris_rock
1,75,186,-6.764705882352942,debris_rock
1,76,179,-7.450980392156865,mixed_snow_ice
1,77,187,-6.666666666666668,debris_rock
1,78,196,-5.784313725490193,debris_rock
1,79,224,-3.0392156862745097,debris_rock
1,80,217,-3.7254901960784323,debris_rock
1,81,202,-5.196078431372548,debris_rock
1,82,176,-7.745098039215687,mixed_snow_ice
1,83,178,-7.549019607843139,mixed_snow_ice
1,84,205,-4.901960784313726,debris_rock
1,85,215,-3.9215686274509807,debris_rock
1,86,199,-5.490196078431371,debris_rock
1,87,178,-7.549019607843139,mixed_snow_ice
1,88,190,-6.372549019607842,debris_rock
1,89,168,-8.529411764705884,mixed_snow_ice
1,90,183,-7.0588235294117645,debris_rock
1,91,178,-7.549019607843139,mixed_snow_ice
1,92,179,-7.450980392156865,mixed_snow_ice
1,93,160,-9.313725490196079,clean_glacier_ice
1,94,183,-7.0588235294117645,debris_rock
1,95,204,-5.0,debris_rock
1,96,184,-6.96078431372549,debris_rock
1,97,202,-5.196078431372548,debris_rock
1,98,162,-9.11764705882353,clean_glacier_ice
1,99,196,-5.784313725490193,debris_rock
1,100,186,-6.764705882352942,debris_rock
1,101,190,-6.372549019607842,debris_rock
1,102,184,-6.96078431372549,debris_rock
1,103,187,-6.666666666666668,debris_rock
1,104,187,-6.666666666666668,debris_rock
1,105,176,-7.745098039215687,mixed_snow_ice
1,106,170,-8.333333333333336,mixed_snow_ice
1,107,154,-9.901960784313726,clean_glacier_ice
1,108,129,-12.352941176470589,regular_glacier_ice
1,109,174,-7.9411764705882355,mixed_snow_ice
1,110,194,-5.980392156862745,debris_rock
1,111,149,-10.392156862745097,clean_glacier_ice
1,112,234,-2.0588235294117645,debris_rock
1,113,255,0.0,debris_rock
1,114,231,-2.352941176470587,debris_rock
1,115,254,-0.09803921568627416,debris_rock
1,116,202,-5.196078431372548,debris_rock
1,117,189,-6.470588235294116,debris_rock
1,118,101,-15.098039215686274,regular_glacier_ice
1,119,111,-14.117647058823529,regular_glacier_ice
1,120,161,-9.215686274509805,clean_glacier_ice
1,121,225,-2.9411764705882355,debris_rock
1,122,240,-1.4705882352941195,debris_rock
1,123,232,-2.254901960784313,debris_rock
1,124,200,-5.392156862745097,debris_rock
1,125,178,-7.549019607843139,mixed_snow_ice
1,126,175,-7.843137254901961,mixed_snow_ice
1,127,165,-8.823529411764707,mixed_snow_ice
1,128,255,0.0,debris_rock
1,129,255,0.0,debris_rock
1,130,255,0.0,debris_rock
1,131,218,-3.627450980392158,debris_rock
1,132,205,-4.901960784313726,debris_rock
1,133,197,-5.686274509803919,debris_rock
1,134,199,-5.490196078431371,debris_rock
1,135,174,-7.9411764705882355,mixed_snow_ice
1,136,182,-7.156862745098039,mixed_snow_ice
1,137,219,-3.529411764705884,debris_rock
1,138,155,-9.803921568627452,clean_glacier_ice
1,139,193,-6.078431372549019,debris_rock
1,140,219,-3.529411764705884,debris_rock
1,141,194,-5.980392156862745,debris_rock
1,142,228,-2.6470588235294095,debris_rock
1,143,220,-3.4313725490196063,debris_rock
1,144,185,-6.862745098039216,debris_rock
1,145,215,-3.9215686274509807,debris_rock
1,146,208,-4.607843137254903,debris_rock
1,147,217,-3.7254901960784323,debris_rock
1,148,219,-3.529411764705884,debris_rock
